ID,故障审核时间,故障文件名称,设备名称,测距结果,故障通道,故障位置,故障相别,跳闸相别,重合位置,再次故障位置,再次故障相别,故障原因
6605,2024-03-21T14:48:57,故障文件1127-6605,对侧故障录波器,1.01KM,1:2:3:4:5:6:7:8:29:30:31:32,2153,BN,ABC,7914,8328,BN,外破
6606,2024-03-21T16:07:48,故障文件1127-6606,本侧故障录波器,20.77KM,1:2:3:4:5:6:7:8:13:14:15:16,2086,BN,ABC,7922,8577,BN,外破
6678,2024-03-21T14:18:24,故障文件1138-6678,本侧故障录波器,43.9KM,25:26:27:28:49:50:51:52,670,AN,AN,1423,null,null,外破
6681,2024-03-21T14:20:02,故障文件1138-6681,对侧故障录波器,3KM,1:2:3:4:5:6:7:8:29:30:31:32,756,AN,AN,14693,null,null,外破
6792,2024-03-20T16:51:10,故障文件1156-6792,本侧故障录波器,2.28KM,1:2:3:4:5:6:7:8:9:10:11:12,647,CN,ABC,1431,2938,CN,外破
6795,2024-03-20T16:52:49,故障文件1156-6795,对侧故障录波器,8.7KM,1:2:3:4:5:6:7:8:21:22:23:24,1997,CN,ABC,null,14277,CN,外破
7006,2024-03-21T11:13:24,故障文件1191-7006,本侧故障录波器,46.92KM,1:2:3:4:5:6:7:8:29:30:31:32,660,BN,ABC,1820,1945,BN,外破
7009,2024-03-21T11:17:42,故障文件1191-7009,对侧故障录波器,7KM,1:2:3:4:5:6:7:8:33:34:35:36,682,BN,ABC,null,1396,BN,外破
7285,2024-03-19T16:46,故障文件1233-7285,对侧故障录波器,51.4KM,1:2:3:4:5:6:7:8:49:50:51:52,686,BN,ABC,1819,2042,BN,外破
7286,2024-03-19T16:50:54,故障文件1233-7286,本侧故障录波器,4.35KM,1:2:3:4:5:6:7:8:9:10:11:12,657,BN,ABC,1790,2010,BN,外破
7305,2024-03-04T15:46:08,故障文件1237-7305,本侧故障录波器,5.6KM,1:2:3:4:5:6:7:8:29:30:31:32,860,CN,ABC,3976,4181,CN,外破
7306,2024-03-04T15:48:18,故障文件1237-7306,本侧故障录波器,5.6KM,1:2:3:4:5:6:7:8:29:30:31:32,792,CN,ABC,null,null,null,外破
7320,2024-03-07T09:07:15,故障文件1240-7320,对侧故障录波器,2.48KM,5:6:7:8:37:38:39:40,685,CN,ABC,null,1058,AN,外破
7321,2024-03-07T09:11:20,故障文件1240-7321,本侧故障录波器,26.7KM,33:34:35:36:37:38:39:40:65:66:67:68:69:70:71:72,483,CN,ABC,null,948,AN,外破
7414,2024-03-19T15:22:41,故障文件1257-7414,对侧故障录波器,1.76KM,1:2:3:4:5:6:7:8:17:18:19:20,684,BN,ABC,null,null,null,外破
7889,2024-03-19T09:29:48,故障文件1337-7889,对侧故障录波器,30.2KM,1:2:3:4:5:6:7:8:21:22:23:24,674,AN,ABC,1797,1893,AN,外破
7904,2024-03-19T09:14:36,故障文件1342-7904,本侧故障录波器,39.55KM,9:10:11:12:33:34:35:36,652,CN,ABC,2081,2283,CN,外破
7907,2024-03-19T09:17:21,故障文件1342-7907,对侧故障录波器,20.79KM,1:2:3:4:25:26:27:28,667,CN,ABC,3033,3270,CN,外破
8216,2024-03-14T11:23:13,故障文件1392-8216,本侧故障录波器,20.22KM,1:2:3:4:5:6:7:8:9:10:11:12,2149,AN,ABC,7810,8375,AN,外破
8221,2024-03-14T11:25:48,故障文件1392-8221,对侧故障录波器,34.65KM,29:30:31:32:61:62:63:64,692,AN,ABC,1386,1567,AN,外破
8274,2024-03-13T16:57:45,故障文件1402-8274,本侧故障录波器,9.41KM,1:2:3:4:5:6:7:8:9:10:11:12,666,AN,ABC,null,1788,AN,外破
8279,2024-03-13T16:59:14,故障文件1402-8279,对侧故障录波器,11.5KM,5:6:7:8:9:10:11:12:41:42:43:44,1272,AN,ABC,null,3026,AN,外破
8369,2024-03-13T16:06:40,故障文件1420-8369,本侧故障录波器,9.31KM,1:2:3:4:5:6:7:8:17:18:19:20,688,AN,ABC,1796,2003,AN,外破
8370,2024-03-13T16:18:28,故障文件1420-8370,对侧故障录波器,2.93KM,1:2:3:4:5:6:7:8:21:22:23:24,650,AN,ABC,1438,1647,AN,外破
8694,2024-01-01T08:43:58,故障文件1469-8694,本侧故障录波器,7.17KM,1:2:3:4:5:6:7:8:25:26:27:28,695,CN,ABC,1819,2042,CN,外破
8696,2024-01-01T08:43:58,故障文件1469-8696,对侧故障录波器,28.06KM,13:14:15:16:31:32:33:46:47:48:70:71:72:73,391,CN,ABC,null,5061,CN,外破
8700,2024-01-01T08:43:58,故障文件1470-8700,对侧故障录波器,0KM,9:10:11:12:37:38:39:40,480,AN,ABC,2652,3258,AN,外破
8701,2024-01-01T08:43:58,故障文件1470-8701,本侧故障录波器,0KM,1:2:3:4:5:6:7:8:13:14:15:16,675,AN,ABC,2649,3096,AN,外破
8702,2024-03-01T13:15:34,故障文件1470-8702,对侧故障录波器,0KM,9:10:11:12:37:38:39:40,478,AN,ABC,2940,2941,AN,外破
8801,2024-01-01T08:43:58,故障文件1485-8801,对侧故障录波器,12.1KM,5:6:7:8:33:34:35:36,664,CN,ABC,1977,2298,CN,外破
9131,2024-01-01T08:43:58,故障文件1536-9131,本侧故障录波器,6.28KM,1:2:3:4:5:6:7:8:25:26:27:28,2140,BN,ABC,7983,8945,BN,外破
9134,2024-01-01T08:43:58,故障文件1536-9134,对侧故障录波器,1.25KM,13:14:15:16:41:42:43:44:61:62:63:64,400,BN,ABC,4672,4957,BN,外破
9202,2024-01-01T08:43:58,故障文件1547-9202,本侧故障录波器,25.95KM,1:2:3:4:5:6:7:8:53:54:55:56,643,BN,BN,2242,null,null,外破
9738,2024-01-01T08:43:58,故障文件1636-9738,本侧故障录波器,24.85KM,37:38:39:40:1:2:3:4,1999,AN,AN,7671,8207,AN,外破
9741,2024-01-01T08:43:58,故障文件1636-9741,对侧故障录波器,3.21KM,17:18:19:20:69:70:71:72,820,AN,AN,4127,4255,AN,外破
9742,2024-01-01T08:43:58,故障文件1637-9742,本侧故障录波器,30.24KM,45:46:47:48:49:50:51:52,800,CN,CN,3847,4075,CN,外破
9745,2024-01-01T08:43:58,故障文件1637-9745,对侧故障录波器,11.45KM,13:14:15:16:1:2:3:4,666,CN,CN,1787,1977,CN,外破
10730,2024-01-01T08:43:58,故障文件1793-10730,本侧故障录波器,28.61KM,1:2:3:4:5:6:7:8:21:22:23:24,639,CN,CN,1771,1953,CN,外破
10909,2024-01-01T08:43:58,故障文件1821-10909,本侧故障录波器,15.95KM,29:30:31:32:1:2:3:4,873,BN,BN,null,5428,BN,外破
10910,2024-01-01T08:43:58,故障文件1821-10910,本侧第二套故障录波器,15.95KM,29:30:31:32:1:2:3:4,874,BN,BN,null,5428,BN,外破
10911,2024-01-01T08:43:58,故障文件1821-10911,对侧故障录波器,13.71KM,21:22:23:24:1:2:3:4,812,BN,BN,null,4124,BN,外破
10912,2024-01-01T08:43:58,故障文件1821-10912,对侧第二套故障录波器,13.7KM,29:30:31:32:1:2:3:4,874,BN,BN,null,4067,BN,外破
10973,2024-01-23T16:48:02,故障文件1833-10973,本侧故障录波器,13.48KM,21:22:23:24:1:2:3:4,2120,AN,AN,6388,8595,AN,外破
10995,2024-01-01T08:43:58,故障文件1836-10995,本侧故障录波器,7.37KM,1:2:3:4:17:18:19:20,799,BN,BN,null,2076,BN,外破
10999,2024-01-01T08:43:58,故障文件1836-10999,对侧故障录波器,0.45KM,1:2:3:4:37:38:39:40,2009,BN,BN,null,8535,BN,外破
11047,2024-01-01T08:43:58,故障文件1845-11047,本侧故障录波器,5.25KM,26:27:28:29:22:23:24:25,326,BN,BN,null,null,null,外破
11048,2024-01-01T08:43:58,故障文件1845-11048,本侧第二套故障录波器,5.2KM,26:27:28:29:22:23:24:25,327,BN,BN,null,null,null,外破
11051,2024-01-01T08:43:58,故障文件1845-11051,对侧故障录波器,0KM,1:2:3:4:49:50:51:52,642,BN,BN,null,null,null,外破
