ID,故障审核时间,故障文件名称,设备名称,测距结果,故障通道,故障位置,故障相别,跳闸相别,重合位置,再次故障位置,再次故障相别,故障原因
5270,2024-03-01T16:29:40,故障文件898-5270,本侧故障录波器,7.55KM,1:2:3:4:5:6:7:8:37:38:39:40,670,BN,BN,null,null,null,异物
5271,2024-03-01T16:31:46,故障文件898-5271,对侧故障录波器,0.09KM,1:2:3:4:9:10:11:12,32041,BN,BN,35456,null,null,异物
6513,2024-03-21T16:53:27,故障文件1112-6513,本侧故障录波器,5.06KM,1:2:3:4:5:6:7:8:17:18:19:20,652,BN,BN,1813,null,null,异物
6514,2024-03-21T16:54:50,故障文件1112-6514,对侧故障录波器,3.64KM,1:2:3:4:5:6:7:8:37:38:39:40,696,BN,BN,1803,null,null,异物
6694,2024-03-21T14:04:25,故障文件1141-6694,本侧故障录波器,0.82KM,1:2:3:4:5:6:7:8:41:42:43:44,660,CN,ABC,null,null,null,异物
6840,2024-03-21T13:16:37,故障文件1164-6840,本侧故障录波器,6.9KM,1:2:3:4:5:6:7:8:33:34:35:36,687,CN,CN,1770,null,null,异物
6841,2024-03-21T13:19:50,故障文件1164-6841,对侧故障录波器,14.1KM,1:2:3:4:17:18:19:20,24960,CN,CN,27416,null,null,异物
6991,2024-03-20T15:24:41,故障文件1188-6991,本侧故障录波器,29.3KM,1:2:3:4:5:6:7:8:37:38:39:40,2080,AN,AN,7899,null,null,异物
6993,2024-03-20T15:26:31,故障文件1188-6993,对侧故障录波器,4.4KM,1:2:3:4:5:6:7:8:21:22:23:24,669,AN,AN,1556,null,null,异物
7115,2024-03-21T11:09:45,故障文件1208-7115,对侧故障录波器,5.39KM,1:2:3:4:5:6:7:8:29:30:31:32,663,BN,BN,null,null,null,异物
7128,2024-03-21T10:55:45,故障文件1210-7128,本侧故障录波器,7.85KM,1:2:3:4:5:6:7:8:29:30:31:32,645,AN,ABC,null,null,null,异物
7173,2024-03-21T09:55:14,故障文件1217-7173,本侧故障录波器,6.8KM,1:2:3:4:5:6:7:8:33:34:35:36,852,AN,ABC,3904,4158,AN,异物
7177,2024-03-21T09:58:03,故障文件1217-7177,对侧故障录波器,4.2KM,1:2:3:4:5:6:7:8:25:26:27:28,660,AN,ABC,null,1813,AN,异物
7218,2024-03-21T09:46:39,故障文件1224-7218,本侧故障录波器,8.1KM,1:2:3:4:5:6:7:8:21:22:23:24,824,CN,CN,2263,null,null,异物
7219,2024-03-21T09:47:44,故障文件1224-7219,本侧第二套故障录波器,8.1KM,1:2:3:4:5:6:7:8:21:22:23:24,823,CN,CN,null,null,null,异物
7258,2024-03-19T16:35:23,故障文件1229-7258,本侧故障录波器,3.74KM,1:2:3:4:5:6:7:8:13:14:15:16,836,AN,ABC,null,4111,AN,异物
7261,2024-03-19T16:37:19,故障文件1229-7261,对侧故障录波器,19.81KM,1:2:3:4:5:6:7:8:9:10:11:12,679,AN,ABC,1804,2030,AN,异物
