ID,故障审核时间,故障文件名称,设备名称,测距结果,故障通道,故障位置,故障相别,跳闸相别,重合位置,再次故障位置,再次故障相别,故障原因
7025,2024-03-08T10:33:57,故障文件1194-7025,对侧故障录波器,14.66KM,1:2:3:4:5:6:7:8:33:34:35:36,640,AN,ABC,null,1802,CN,火灾
7030,2024-03-08T10:37:31,故障文件1194-7030,本侧故障录波器,14.66KM,1:2:3:4:5:6:7:8:25:26:27:28,648,AN,ABC,null,1746,CN,火灾
7131,2024-03-11T16:00:18,故障文件1211-7131,对侧故障录波器,19.71KM,1:2:3:4:5:6:7:8:33:34:35:36,664,CN,ABC,null,null,null,火灾
7132,2024-03-11T16:01:58,故障文件1211-7132,本侧故障录波器,10.56KM,1:2:3:4:5:6:7:8:53:54:55:56,641,CN,ABC,null,null,null,火灾
7245,2024-03-12T16:49:52,故障文件1228-7245,本侧故障录波器,21.34KM,9:10:11:12:53:54:55:56:57:58:59:60,686,CN,ABC,null,2423,CN,火灾
7250,2024-03-12T16:47:10,故障文件1228-7250,对侧故障录波器,111.4KM,13:14:15:16:69:70:71:72:73:74:75:76,634,CN,ABC,null,2289,CN,火灾
7262,2024-03-12T16:56:13,故障文件1230-7262,本侧故障录波器,19.66KM,13:14:15:16:69:70:71:72,679,AC,ABC,null,null,null,火灾
7267,2024-03-12T16:57:33,故障文件1230-7267,对侧故障录波器,44.59KM,1:2:3:4:29:30:31:32,667,AC,ABC,null,null,null,火灾
7328,2024-03-08T10:22:53,故障文件1241-7328,本侧故障录波器,3KM,1:2:3:4:25:26:27:28,700,CN,ABC,2862,3030,CN,火灾
7332,2024-03-08T10:27:04,故障文件1241-7332,对侧故障录波器,188.07KM,13:14:15:16:45:46:47:48,639,CN,ABC,2845,3017,CN,火灾
7786,2024-03-11T15:57:11,故障文件1316-7786,本侧故障录波器,17.77KM,1:2:3:4:5:6:7:8:25:26:27:28,657,BN,ABC,null,1384,CN,火灾
8724,2024-01-01T08:43:58,故障文件1473-8724,本侧故障录波器,23.13KM,5:6:7:8:45:46:47:48,663,BN,ABC,null,1821,null,火灾
8729,2024-01-01T08:43:58,故障文件1473-8729,对侧故障录波器,8.69KM,1:2:3:4:5:6:7:8:13:14:15:16,645,BN,ABC,1766,1863,BN,火灾
9162,2024-01-01T08:43:58,故障文件1541-9162,本侧故障录波器,16.18KM,1:2:3:4:5:6:7:8:29:30:31:32,812,AB,ABC,null,null,null,火灾
9163,2024-01-01T08:43:58,故障文件1541-9163,本侧故障录波器,16.18KM,1:2:3:4:5:6:7:8:29:30:31:32,813,AB,ABC,null,null,null,火灾
9164,2024-01-01T08:43:58,故障文件1541-9164,对侧故障录波器,7.3KM,1:2:3:4:5:6:7:8:21:22:23:24,669,AB,ABC,null,null,null,火灾
9168,2024-01-01T08:43:58,故障文件1542-9168,本侧故障录波器,15.87KM,1:2:3:4:5:6:7:8:25:26:27:28,807,BC,ABC,null,null,null,火灾
9169,2024-01-01T08:43:58,故障文件1542-9169,本侧故障录波器,15.87KM,1:2:3:4:5:6:7:8:25:26:27:28,808,BC,ABC,null,null,null,火灾
9170,2024-01-01T08:43:58,故障文件1542-9170,对侧故障录波器,7.3KM,1:2:3:4:5:6:7:8:17:18:19:20,670,BC,ABC,null,null,null,火灾
9342,2024-01-01T08:43:58,故障文件1575-9342,本侧故障录波器,9.85KM,1:2:3:4:25:26:27:28:41:42:43:44,676,BN,BN,2152,null,null,火灾
9343,2024-01-01T08:43:58,故障文件1575-9343,对侧故障录波器,56.9KM,5:6:7:8:33:34:35:36:41:42:43:44,659,BN,BN,2260,null,null,火灾
9355,2024-01-01T08:43:58,故障文件1577-9355,本侧故障录波器,56.9KM,5:6:7:8:33:34:35:36:41:42:43:44,688,BN,BN,3129,null,null,火灾
9356,2024-01-01T08:43:58,故障文件1577-9356,对侧故障录波器,9.85KM,1:2:3:4:25:26:27:28:41:42:43:44,685,BN,BN,2170,null,null,火灾
10344,2024-01-01T08:43:58,故障文件1732-10344,本侧故障录波器,6.16KM,17:18:19:20:21:22:23:24,867,BC,ABC,null,null,null,火灾
10346,2024-01-01T08:43:58,故障文件1732-10346,对侧故障录波器,0.64KM,1:2:3:4:5:6:7:8:29:30:31:32,2051,BC,ABC,null,null,null,火灾
10500,2024-01-01T08:43:58,故障文件1758-10500,对侧故障录波器,26.8KM,1:2:3:4:6:5:7:8:29:30:31:32,517,BN,BN,7701,8310,BN,火灾
10501,2024-01-01T08:43:58,故障文件1758-10501,本侧故障录波器,3.8KM,1:2:3:4:5:6:7:8:41:42:43:44,1852,BN,BN,9344,10192,BN,火灾
10506,2024-01-01T08:43:58,故障文件1758-10506,本侧第二套故障录波器,4.7KM,1:2:4:3:5:6:7:8:41:42:43:44,1856,BN,BN,9346,10194,BN,火灾
