ID,故障审核时间,故障文件名称,设备名称,测距结果,故障通道,故障位置,故障相别,跳闸相别,重合位置,再次故障位置,再次故障相别,故障原因
3057,2024-03-04T09:04:30,故障文件515-3057,本侧故障录波器,7.34KM,1:2:3:4:25:26:27:28,16018,ABN,ABC,null,null,null,雷击
4095,2024-03-04T14:42:23,故障文件693-4095,本侧故障录波器,17.26KM,1:2:3:4:5:6:7:8:21:22:23:24,647,BN,ABC,null,1840,BN,雷击
5360,2024-03-04T14:48:41,故障文件914-5360,对侧故障录波器,7.83KM,1:2:3:4:37:38:39:40,20018,AN,ABC,null,null,null,雷击
5361,2024-03-04T14:52:56,故障文件914-5361,本侧故障录波器,21.92KM,5:6:7:8:37:38:39:40,14100,AN,AN,16660,null,null,雷击
6435,2024-03-22T08:43:42,故障文件1096-6435,本侧故障录波器,12.77KM,1:2:3:4:5:6:7:8:45:46:47:48,830,AN,AN,4165,null,null,雷击
6440,2024-03-22T08:44:58,故障文件1096-6440,对侧故障录波器,14.82KM,17:18:19:20:21:22:23:24:45:46:47:48,2149,AN,AN,7677,null,null,雷击
6500,2024-03-21T16:25:20,故障文件1110-6500,本侧故障录波器,2.41KM,1:2:3:4:5:6:7:8:37:38:39:40,684,CN,CN,1780,null,null,雷击
6501,2024-03-21T16:27:49,故障文件1110-6501,对侧故障录波器,21.4KM,1:2:3:4:5:6:7:8:25:26:27:28,799,CN,CN,3771,null,null,雷击
6537,2024-03-21T16:47:46,故障文件1116-6537,对侧故障录波器,5.95KM,1:2:3:4:5:6:7:8:21:22:23:24,685,CN,CN,1777,null,null,雷击
6538,2024-03-21T16:49:12,故障文件1116-6538,本侧故障录波器,3.27KM,9:10:11:12:41:42:43:44,631,CN,CN,1442,null,null,雷击
6549,2024-03-22T16:54:18,故障文件1118-6549,本侧故障录波器,55.81KM,1:2:3:4:5:6:7:8:33:34:35:36,669,CN,CN,1801,null,null,雷击
6623,2024-03-21T14:30:33,故障文件1130-6623,本侧故障录波器,12.19KM,1:2:3:4:5:6:7:8:33:34:35:36,671,CN,CN,1800,null,null,雷击
6626,2024-03-21T14:31:35,故障文件1130-6626,对侧故障录波器,39.01KM,1:2:3:4:5:6:7:8:25:26:27:28,689,CN,CN,1405,null,null,雷击
6702,2024-03-21T14:00:04,故障文件1143-6702,本侧故障录波器,42.15KM,5:6:7:8:45:46:47:48:53:54:55:56,687,AN,AN,null,null,null,雷击
6703,2024-03-21T14:01:31,故障文件1143-6703,对侧故障录波器,14.27KM,5:6:7:8:57:58:59:60:61:62:63:64,658,AN,AN,2140,null,null,雷击
7462,2024-03-19T14:34:44,故障文件1265-7462,本侧故障录波器,40.7KM,1:2:3:4:5:6:7:8:33:34:35:36,673,BN,ABC,1802,3224,BN,雷击
7467,2024-03-19T14:36:40,故障文件1265-7467,对侧故障录波器,15.77KM,1:2:3:4:5:6:7:8:29:30:31:32,651,BN,ABC,1787,3206,BN,雷击
7600,2024-03-19T13:36:38,故障文件1289-7600,对侧故障录波器,15.54KM,13:14:15:16:37:38:39:40,691,BN,BN,null,null,null,雷击
7601,2024-03-19T13:41:25,故障文件1289-7601,本侧故障录波器,11.34KM,1:2:3:4:5:6:7:8:29:30:31:32,4184,BN,BN,14135,null,null,雷击
