ID,故障审核时间,故障文件名称,设备名称,测距结果,故障通道,故障位置,故障相别,跳闸相别,重合位置,再次故障位置,再次故障相别,故障原因
6441,2024-03-22T08:46:31,故障文件1097-6441,本侧故障录波器,22.88KM,1:2:3:4:5:6:7:8:29:30:31:32,808,CN,CN,2263,null,null,风偏
6442,2024-03-22T08:47:45,故障文件1097-6442,对侧故障录波器,12.36KM,1:2:3:4:5:6:7:8:21:22:23:24,808,CN,CN,null,null,null,风偏
6891,2024-03-20T15:54:57,故障文件1172-6891,对侧故障录波器,14.95KM,1:2:3:4:5:6:7:8:13:14:15:16,646,BC,ABC,null,null,null,风偏
6892,2024-03-20T15:57:21,故障文件1172-6892,本侧故障录波器,17.31KM,1:2:3:4:5:6:7:8:41:42:43:44,689,BC,ABC,null,null,null,风偏
7484,2024-03-19T14:41:44,故障文件1269-7484,对侧故障录波器,43.82KM,13:14:15:16:21:22:23:24,690,BN,BN,2127,null,null,风偏
7489,2024-03-19T14:43:19,故障文件1269-7489,本侧故障录波器,6.55KM,1:2:3:4:5:6:7:8:53:54:55:56,665,BN,BN,2391,null,null,风偏
7920,2024-03-19T09:02:10,故障文件1344-7920,本侧故障录波器,58.59KM,1:2:3:4:5:6:7:8:21:22:23:24,672,AC,ABC,null,null,null,风偏
7921,2024-03-19T09:03:01,故障文件1344-7921,对侧故障录波器,2.5KM,1:2:3:4:5:6:7:8,684,AC,ABC,null,null,null,风偏
7926,2024-03-18T10:40:01,故障文件1345-7926,本侧故障录波器,6.33KM,17:18:19:20:21:22:23:24,868,AC,ABC,null,null,null,风偏
7927,2024-03-18T10:41:06,故障文件1345-7927,本侧第二套故障录波器,6.33KM,17:18:19:20:21:22:23:24,872,AC,ABC,null,null,null,风偏
7928,2024-03-18T10:42:15,故障文件1345-7928,对侧故障录波器,24.23KM,1:2:3:4:5:6:7:8:29:30:31:32,672,AC,ABC,null,null,null,风偏
7961,2024-03-19T08:46:18,故障文件1350-7961,本侧故障录波器,46.07KM,1:2:3:4:5:6:7:8:21:22:23:24,637,AC,ABC,null,null,null,风偏
7962,2024-03-19T08:47:23,故障文件1350-7962,对侧故障录波器,14.83KM,1:2:3:4:5:6:7:8:37:38:39:40,682,AC,ABC,null,null,null,风偏
7967,2024-03-18T13:35:47,故障文件1351-7967,本侧故障录波器,3.25KM,25:26:27:28:29:30:31:32,850,BC,ABC,null,null,null,风偏
7968,2024-03-18T13:36:47,故障文件1351-7968,本侧故障录波器,3.25KM,25:26:27:28:29:30:31:32,853,BC,ABC,null,null,null,风偏
7971,2024-03-18T13:28:59,故障文件1352-7971,本侧故障录波器,16.26KM,25:26:27:28:29:30:31:32,875,AC,ABC,null,null,null,风偏
7972,2024-03-18T13:30:05,故障文件1352-7972,本侧第二套故障录波器,16.26KM,25:26:27:28:29:30:31:32,797,AC,ABC,null,null,null,风偏
7975,2024-03-18T13:09:27,故障文件1353-7975,本侧故障录波器,13.33KM,25:26:27:28:29:30:31:32,815,BC,ABC,null,null,null,风偏
7976,2024-03-18T13:10:21,故障文件1353-7976,本侧第二套故障录波器,13.33KM,25:26:27:28:29:30:31:32,818,BC,ABC,null,null,null,风偏
7981,2024-03-18T11:06:12,故障文件1355-7981,对侧故障录波器,1.62KM,17:18:19:20:45:46:47:48,517,AC,ABC,null,null,null,风偏
7984,2024-03-18T11:07:31,故障文件1355-7984,本侧故障录波器,19.17KM,17:18:19:20:1:2:3:4:5:6:7:8,1996,AC,ABC,null,null,null,风偏
8006,2024-03-18T13:38:44,故障文件1359-8006,对侧故障录波器,38KM,33:34:35:36:37:38:39:40:41:42:43:44:45:46:47:48,806,AB,ABC,null,null,null,风偏
8007,2024-03-18T13:40:36,故障文件1359-8007,对侧故障录波器,38KM,33:34:35:36:37:38:39:40:41:42:43:44:45:46:47:48,832,AB,ABC,null,null,null,风偏
8008,2024-03-18T13:56:15,故障文件1359-8008,本侧故障录波器,25.38KM,1:2:3:4:5:6:7:8:25:26:27:28,675,AB,ABC,null,null,null,风偏
8013,2024-03-18T13:11:59,故障文件1360-8013,本侧故障录波器,24.79KM,1:2:3:4:5:6:7:8:25:26:27:28,686,AB,ABC,null,null,null,风偏
8014,2024-03-18T13:25:45,故障文件1360-8014,对侧故障录波器,38KM,33:34:35:36:37:38:39:40:41:42:43:44:45:46:47:48,857,AB,ABC,null,null,null,风偏
8015,2024-03-18T13:26:50,故障文件1360-8015,对侧故障录波器,38KM,33:34:35:36:37:38:39:40:41:42:43:44:45:46:47:48,832,AB,ABC,null,null,null,风偏
8020,2024-03-18T13:31:34,故障文件1361-8020,本侧故障录波器,25.64KM,1:2:3:4:5:6:7:8:25:26:27:28,696,AB,ABC,null,null,null,风偏
8021,2024-03-18T13:32:42,故障文件1361-8021,对侧故障录波器,38KM,33:34:35:36:37:38:39:40:41:42:43:44:45:46:47:48,819,AB,ABC,null,null,null,风偏
8022,2024-03-18T13:33:54,故障文件1361-8022,对侧故障录波器,38KM,33:34:35:36:37:38:39:40:41:42:43:44:45:46:47:48,873,AB,ABC,null,null,null,风偏
8023,2024-03-18T11:02:11,故障文件1362-8023,本侧故障录波器,58.82KM,1:2:3:4:5:6:7:8:21:22:23:24,638,AC,ABC,null,null,null,风偏
8024,2024-03-18T11:03:19,故障文件1362-8024,对侧故障录波器,2.5KM,1:2:3:4:5:6:7:8:37:38:39:40,678,AC,ABC,null,null,null,风偏
8079,2024-03-14T13:59:03,故障文件1371-8079,本侧故障录波器,2.09KM,9:10:11:12:21:22:23:24:25:26:27:28,388,BC,ABC,null,null,null,风偏
8080,2024-03-14T14:03:24,故障文件1371-8080,本侧故障录波器,2.09KM,1:2:3:4:5:6:7:8:15:16:17:26,386,BC,ABC,null,null,null,风偏
8089,2024-03-14T13:39:55,故障文件1372-8089,对侧故障录波器,19.88KM,41:42:43:44:69:70:71:72,865,BC,ABC,null,null,null,风偏
8090,2024-03-14T13:44:40,故障文件1372-8090,对侧故障录波器,19.88KM,41:42:43:44:69:70:71:72,872,BC,ABC,null,null,null,风偏
8091,2024-03-14T13:46:10,故障文件1372-8091,本侧故障录波器,2.01KM,5:6:7:8:21:22:23:24:25:26:27:28,387,BC,ABC,null,null,null,风偏
8092,2024-03-14T13:47:27,故障文件1372-8092,本侧故障录波器,2.01KM,1:2:3:4:5:6:7:8:12:13:14:25,386,BC,ABC,null,null,null,风偏
8102,2024-03-14T14:23:47,故障文件1374-8102,对侧故障录波器,11.08KM,1:2:3:4:5:6:7:8:29:30:31:32,655,AC,ABC,null,null,null,风偏
8106,2024-03-14T14:24:49,故障文件1374-8106,本侧故障录波器,3.03KM,1:2:3:4:5:6:7:8:21:22:23:24,665,AC,ABC,null,null,null,风偏
8111,2024-03-14T14:18:22,故障文件1376-8111,对侧故障录波器,5.57KM,1:2:3:4:5:6:7:8:17:18:19:20,648,BC,ABC,null,null,null,风偏
8114,2024-03-14T14:21:57,故障文件1376-8114,本侧故障录波器,9.2KM,1:2:3:4:5:6:7:8:33:34:35:36,652,BC,ABC,null,null,null,风偏
