ID,故障审核时间,故障文件名称,设备名称,测距结果,故障通道,故障位置,故障相别,跳闸相别,重合位置,再次故障位置,再次故障相别,故障原因
6314,2024-03-22T10:20:08,故障文件1077-6314,对侧故障录波器,10.94KM,1:2:3:4:5:6:7:8:21:22:23:24,680,AN,AN,1775,null,null,鸟害
6315,2024-03-22T10:21:26,故障文件1077-6315,本侧故障录波器,11.82KM,1:2:3:4:5:6:7:8:9:10:11:12,661,AN,AN,1798,null,null,鸟害
6342,2024-03-22T09:30:50,故障文件1082-6342,本侧故障录波器,1.54KM,1:2:3:4:5:6:7:8:33:34:35:36,660,AN,AN,1433,null,null,鸟害
6345,2024-03-22T09:32:18,故障文件1082-6345,对侧故障录波器,35.21KM,1:2:3:4:5:6:7:8:21:22:23:24,655,AN,AN,1767,null,null,鸟害
6591,2024-03-21T16:11:25,故障文件1125-6591,对侧故障录波器,12.12KM,1:2:3:4:5:6:7:8:29:30:31:32,692,BN,BN,1825,null,null,鸟害
6592,2024-03-21T16:12:59,故障文件1125-6592,本侧故障录波器,23.77KM,1:2:3:4:5:6:7:8:21:22:23:24,684,BN,BN,1814,null,null,鸟害
6639,2024-03-22T16:43,故障文件1132-6639,对侧故障录波器,13.4KM,1:2:3:4:5:6:7:8:37:38:39:40,679,AN,AN,1817,null,null,鸟害
6644,2024-03-22T16:44:24,故障文件1132-6644,本侧故障录波器,49.3KM,1:2:3:4:5:6:7:8:21:22:23:24,675,AN,AN,1809,null,null,鸟害
6734,2024-03-21T13:38:43,故障文件1148-6734,本侧故障录波器,16.54KM,105:106:107:108:109:110:111:112,322,BN,BN,2378,null,null,鸟害
6735,2024-03-21T13:41:09,故障文件1148-6735,对侧故障录波器,18.71KM,1:2:3:4:5:6:7:8:25:26:27:28,802,BN,BN,2272,null,null,鸟害
6867,2024-03-20T16:27:18,故障文件1168-6867,本侧故障录波器,25.51KM,1:2:3:4:5:6:7:8:33:34:35:36,811,BN,BN,5086,null,null,鸟害
6869,2024-03-20T16:29:27,故障文件1168-6869,对侧故障录波器,0.82KM,17:18:19:20:21:22:23:24,451,BN,BN,2682,null,null,鸟害
6952,2024-03-20T15:52:17,故障文件1181-6952,对侧故障录波器,26.42KM,17:18:19:20:57:58:59:60,644,AN,AN,2233,null,null,鸟害
6956,2024-03-20T15:53:28,故障文件1181-6956,本侧故障录波器,4.8KM,1:2:3:4:5:6:7:8:33:34:35:36,832,AN,AN,null,null,null,鸟害
6997,2024-03-20T15:28:19,故障文件1189-6997,本侧故障录波器,1.84KM,1:2:3:4:5:6:7:8:45:46:47:48,651,BN,BN,null,null,null,鸟害
6998,2024-03-20T15:31:22,故障文件1189-6998,对侧故障录波器,7.08KM,1:2:3:4:5:6:7:8:21:22:23:24,654,BN,BN,1808,null,null,鸟害
7019,2024-03-20T15:16:51,故障文件1193-7019,本侧故障录波器,11.2KM,1:2:3:4:5:6:7:8:21:22:23:24,2168,BN,BN,7756,null,null,鸟害
7022,2024-03-20T15:18:35,故障文件1193-7022,对侧故障录波器,28.26KM,1:2:3:4:5:6:7:8:21:22:23:24,654,BN,null,1793,null,null,鸟害
7080,2024-03-20T13:31:39,故障文件1202-7080,本侧故障录波器,7.64KM,1:2:3:4:17:18:19:20:49:50:51:52,430,CN,CN,3659,null,null,鸟害
7088,2024-03-20T14:35:25,故障文件1204-7088,本侧故障录波器,40.49KM,17:18:19:20:33:34:35:36,672,CN,CN,1912,null,null,鸟害
7092,2024-03-20T14:36:44,故障文件1204-7092,对侧故障录波器,75.77KM,1:2:3:4:25:26:27:28,808,CN,CN,4467,null,null,鸟害
7105,2024-03-21T10:57:29,故障文件1206-7105,对侧故障录波器,21.53KM,1:2:3:4:5:6:7:8:21:22:23:24,651,BN,ABC,1788,null,null,鸟害
7106,2024-03-21T11:03:31,故障文件1206-7106,本侧故障录波器,17.59KM,1:2:3:4:5:6:7:8:21:22:23:24,2114,BN,BN,7782,null,null,鸟害
7109,2024-03-21T11:05:45,故障文件1207-7109,对侧故障录波器,34.15KM,1:2:3:4:5:6:7:8:21:22:23:24,4152,BN,BN,14228,null,null,鸟害
7112,2024-03-21T11:06:48,故障文件1207-7112,本侧故障录波器,2.33KM,1:2:3:4:5:6:7:8:21:22:23:24,659,BN,BN,null,null,null,鸟害
7121,2024-03-20T08:47:20,故障文件1209-7121,本侧故障录波器,32.79KM,5:6:7:8:41:42:43:44:45:46:47:48,678,CN,CN,2504,null,null,鸟害
7122,2024-03-20T08:55:05,故障文件1209-7122,对侧故障录波器,31.9KM,1:2:3:4:5:6:7:8,815,CN,CN,5110,null,null,鸟害
7127,2024-03-20T08:56:44,故障文件1209-7127,对侧第二套故障录波器,31KM,1:2:3:4:5:6:7:8,806,CN,CN,null,null,null,鸟害
7137,2024-03-21T10:54:10,故障文件1212-7137,对侧故障录波器,16.35KM,1:2:3:4:5:6:7:8:21:22:23:24,673,BN,BN,null,null,null,鸟害
